auth-service  | 
auth-service  | 2025-05-17T08:40:18.252Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.253Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$665/0x00000008010a25f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.260Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.271Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'spring.cloud.loadbalancer-org.springframework.cloud.client.loadbalancer.LoadBalancerClientsProperties' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerClientsProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.278Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'default.org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration.LoadBalancerClientSpecification' of type [org.springframework.cloud.loadbalancer.annotation.LoadBalancerClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.279Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'default.org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration.LoadBalancerClientSpecification' of type [org.springframework.cloud.loadbalancer.annotation.LoadBalancerClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.280Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'default.org.springframework.cloud.netflix.eureka.loadbalancer.LoadBalancerEurekaAutoConfiguration.LoadBalancerClientSpecification' of type [org.springframework.cloud.loadbalancer.annotation.LoadBalancerClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.285Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'loadBalancerClientFactory' of type [org.springframework.cloud.loadbalancer.support.LoadBalancerClientFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.291Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'blockingLoadBalancerClient' of type [org.springframework.cloud.loadbalancer.blocking.client.BlockingLoadBalancerClient] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.297Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'loadBalancerServiceInstanceCookieTransformer' of type [org.springframework.cloud.loadbalancer.core.LoadBalancerServiceInstanceCookieTransformer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.305Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'xForwarderHeadersTransformer' of type [org.springframework.cloud.loadbalancer.blocking.XForwardedHeadersTransformer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.310Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.316Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'loadBalancerRequestFactory' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerRequestFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.318Z  WARN 1 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'loadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
auth-service  | 2025-05-17T08:40:18.660Z  INFO 1 --- [auth-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
auth-service  | 2025-05-17T08:40:18.669Z  INFO 1 --- [auth-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
auth-service  | 2025-05-17T08:40:18.669Z  INFO 1 --- [auth-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
auth-service  | 2025-05-17T08:40:18.704Z  INFO 1 --- [auth-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
auth-service  | 2025-05-17T08:40:18.705Z  INFO 1 --- [auth-service] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3541 ms
auth-service  | 2025-05-17T08:40:19.109Z  INFO 1 --- [auth-service] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
auth-service  | 2025-05-17T08:40:19.245Z  INFO 1 --- [auth-service] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.4.Final
auth-service  | 2025-05-17T08:40:19.285Z  INFO 1 --- [auth-service] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
auth-service  | 2025-05-17T08:40:19.453Z  INFO 1 --- [auth-service] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
auth-service  | 2025-05-17T08:40:19.467Z  INFO 1 --- [auth-service] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
auth-service  | 2025-05-17T08:40:19.576Z  INFO 1 --- [auth-service] [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5a537a16
auth-service  | 2025-05-17T08:40:19.578Z  INFO 1 --- [auth-service] [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
auth-service  | 2025-05-17T08:40:19.614Z  WARN 1 --- [auth-service] [           main] org.hibernate.orm.deprecation            : HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
auth-service  | 2025-05-17T08:40:19.615Z  WARN 1 --- [auth-service] [           main] org.hibernate.orm.deprecation            : HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
auth-service  | 2025-05-17T08:40:20.119Z  INFO 1 --- [auth-service] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
auth-service  | 2025-05-17T08:40:20.167Z  INFO 1 --- [auth-service] [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
auth-service  | 2025-05-17T08:40:20.419Z DEBUG 1 --- [auth-service] [           main] c.t.a.security.JwtAuthenticationFilter   : Filter 'jwtAuthenticationFilter' configured for use
auth-service  | 2025-05-17T08:40:20.502Z  WARN 1 --- [auth-service] [           main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
auth-service  | 2025-05-17T08:40:20.793Z  INFO 1 --- [auth-service] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
auth-service  | 2025-05-17T08:40:20.836Z  INFO 1 --- [auth-service] [           main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@494c452b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7e9b68c5, org.springframework.security.web.context.SecurityContextHolderFilter@7882379b, org.springframework.security.web.header.HeaderWriterFilter@6cd31e5f, org.springframework.web.filter.CorsFilter@3d41881, org.springframework.security.web.authentication.logout.LogoutFilter@482c8db4, com.taskmanagement.auth.security.JwtAuthenticationFilter@6f404bc6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1acd952e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2dbfb843, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f04349b, org.springframework.security.web.session.SessionManagementFilter@76614fd1, org.springframework.security.web.access.ExceptionTranslationFilter@78854721, org.springframework.security.web.access.intercept.AuthorizationFilter@1f748d43]
auth-service  | 2025-05-17T08:40:21.092Z  INFO 1 --- [auth-service] [           main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
auth-service  | 2025-05-17T08:40:21.114Z  WARN 1 --- [auth-service] [           main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
auth-service  | 2025-05-17T08:40:21.148Z  INFO 1 --- [auth-service] [           main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
auth-service  | 2025-05-17T08:40:21.208Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
auth-service  | 2025-05-17T08:40:21.211Z  INFO 1 --- [auth-service] [           main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Application is null : false
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
auth-service  | 2025-05-17T08:40:21.235Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
auth-service  | 2025-05-17T08:40:21.236Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
auth-service  | 2025-05-17T08:40:21.451Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : The response status is 200
auth-service  | 2025-05-17T08:40:21.454Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
auth-service  | 2025-05-17T08:40:21.456Z  INFO 1 --- [auth-service] [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
auth-service  | 2025-05-17T08:40:21.457Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1747471221457 with initial instances count: 0
auth-service  | 2025-05-17T08:40:21.460Z  INFO 1 --- [auth-service] [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application AUTH-SERVICE with eureka with status UP
auth-service  | 2025-05-17T08:40:21.461Z  INFO 1 --- [auth-service] [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1747471221461, current=UP, previous=STARTING]
auth-service  | 2025-05-17T08:40:21.462Z  INFO 1 --- [auth-service] [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_AUTH-SERVICE/169446cac00f:auth-service:8081: registering service...
auth-service  | 2025-05-17T08:40:21.480Z  INFO 1 --- [auth-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8081 (http) with context path ''
auth-service  | 2025-05-17T08:40:21.481Z  INFO 1 --- [auth-service] [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8081
auth-service  | 2025-05-17T08:40:21.499Z  INFO 1 --- [auth-service] [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_AUTH-SERVICE/169446cac00f:auth-service:8081 - registration status: 204
auth-service  | 2025-05-17T08:40:21.500Z  INFO 1 --- [auth-service] [           main] c.t.auth.AuthServiceApplication          : Started AuthServiceApplication in 7.133 seconds (process running for 8.144)
auth-service  | Hibernate: 
auth-service  |     select
auth-service  |         count(*) 
auth-service  |     from
auth-service  |         roles r1_0
auth-service  | Hibernate: 
auth-service  |     select
auth-service  |         count(*) 
auth-service  |     from
auth-service  |         users u1_0
auth-service  | 2025-05-17T08:40:23.528Z  INFO 1 --- [auth-service] [nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
auth-service  | 2025-05-17T08:40:23.528Z  INFO 1 --- [auth-service] [nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
auth-service  | 2025-05-17T08:40:23.529Z  INFO 1 --- [auth-service] [nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
auth-service  | 2025-05-17T08:40:23.539Z DEBUG 1 --- [auth-service] [nio-8081-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:40:23.546Z DEBUG 1 --- [auth-service] [nio-8081-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:40:23.549Z DEBUG 1 --- [auth-service] [nio-8081-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:40:51.465Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
auth-service  | 2025-05-17T08:40:51.468Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
auth-service  | 2025-05-17T08:40:51.511Z  INFO 1 --- [auth-service] [freshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
auth-service  | 2025-05-17T08:40:53.668Z DEBUG 1 --- [auth-service] [nio-8081-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:40:53.671Z DEBUG 1 --- [auth-service] [nio-8081-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:40:53.672Z DEBUG 1 --- [auth-service] [nio-8081-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:41:23.746Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:41:23.749Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:41:23.750Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:41:53.814Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:41:53.817Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:41:53.818Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:42:23.917Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:42:23.920Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:42:23.921Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:42:54.003Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:42:54.005Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:42:54.006Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:43:24.084Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:43:24.089Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:43:24.090Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:43:54.179Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:43:54.181Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:43:54.183Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:44:24.299Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:44:24.305Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:44:24.306Z DEBUG 1 --- [auth-service] [nio-8081-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:44:54.407Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:44:54.411Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:44:54.412Z DEBUG 1 --- [auth-service] [nio-8081-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:45:21.261Z  INFO 1 --- [auth-service] [trap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
auth-service  | 2025-05-17T08:45:24.550Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:45:24.552Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:45:24.554Z DEBUG 1 --- [auth-service] [nio-8081-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:45:54.628Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:45:54.630Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
auth-service  | 2025-05-17T08:45:54.632Z DEBUG 1 --- [auth-service] [nio-8081-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /actuator/health
auth-service  | 2025-05-17T08:46:24.729Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /actuator/health
auth-service  | 2025-05-17T08:46:24.731Z DEBUG 1 --- [auth-service] [nio-8081-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
